master_seed,partition,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,seed_total
1,0.013,0.167,16.723,1.782,2.720,0.161,13.777,1.882,2.724,42.616
2,0.013,0.158,13.771,1.783,2.751,0.145,13.528,1.785,2.742,36.703
3,0.013,0.144,13.619,1.585,2.835,0.137,13.687,1.579,2.819,36.445
4,0.013,0.139,13.583,1.854,2.745,0.157,13.606,1.860,2.743,36.726
5,0.013,0.142,13.573,1.572,2.714,0.139,13.562,1.575,2.719,36.036
6,0.013,0.141,13.581,1.595,2.806,0.135,13.599,1.599,2.823,36.319
7,0.014,0.145,13.691,2.001,2.757,0.141,13.577,1.993,2.751,37.096
8,0.013,0.148,13.636,1.825,2.759,0.142,13.568,1.829,2.763,36.710
9,0.014,0.145,13.776,1.654,2.735,0.140,13.574,1.661,2.730,36.455
10,0.019,0.152,13.740,1.838,2.691,0.145,13.636,1.819,2.677,36.750
