phase,mean_sec,std_sec,min_sec,max_sec,n
partition,0.01,0.00,0.01,0.02,10
val_logreg,0.15,0.01,0.14,0.17,10
val_gboost,13.97,0.97,13.57,16.72,10
val_svm,1.75,0.14,1.57,2.00,10
val_rf,2.75,0.04,2.69,2.83,10
test_logreg,0.14,0.01,0.14,0.16,10
test_gboost,13.61,0.07,13.53,13.78,10
test_svm,1.76,0.15,1.57,1.99,10
test_rf,2.75,0.04,2.68,2.82,10
seed_total,37.19,1.93,36.04,42.62,10
