master_seed,data_load,partition,fit_encoder_dict,sparse_codes_train,sparse_codes_val,sparse_codes_test,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,seed_total
49,16.329,0.112,82.019,7.757,5.411,4.975,0.123,2.130,0.226,1.132,0.114,2.508,0.167,0.936,123.947
45,16.443,0.111,78.648,7.853,5.333,5.412,0.141,2.128,0.173,0.948,0.132,2.125,0.213,1.143,120.808
58,16.325,0.099,82.800,8.029,5.592,5.094,0.138,2.590,0.170,0.925,0.136,2.146,0.170,0.925,125.145
42,15.004,0.107,81.444,7.388,5.465,5.887,0.129,2.474,0.201,1.129,0.145,2.572,0.171,0.933,123.055
59,16.509,0.069,81.012,7.792,5.636,5.608,0.161,2.595,0.217,0.920,0.146,2.139,0.179,0.910,123.898
