phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.54,0.15,11.43,11.65,2
partition,0.04,0.00,0.04,0.04,2
fit_encoder_dict,10.78,0.22,10.63,10.94,2
sparse_codes_train,3.85,0.12,3.77,3.94,2
sparse_codes_val,2.57,0.07,2.52,2.62,2
sparse_codes_test,2.58,0.05,2.54,2.61,2
val_logreg,0.03,0.00,0.03,0.04,2
val_gboost,1.44,0.00,1.44,1.44,2
val_svm,0.07,0.00,0.07,0.07,2
val_rf,0.63,0.01,0.62,0.63,2
test_logreg,0.03,0.00,0.03,0.03,2
test_gboost,1.44,0.00,1.43,1.44,2
test_svm,0.07,0.00,0.07,0.07,2
test_rf,0.63,0.01,0.62,0.64,2
seed_total,35.72,0.29,35.52,35.92,2
