phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.99,0.53,11.62,12.37,2
partition,0.03,0.00,0.03,0.03,2
fit_encoder_dict,169.70,0.80,169.13,170.27,2
sparse_codes_train,61.18,1.21,60.33,62.04,2
sparse_codes_val,45.91,0.51,45.55,46.27,2
sparse_codes_test,44.94,0.09,44.88,45.01,2
val_logreg,0.04,0.00,0.04,0.04,2
val_gboost,14.67,0.03,14.65,14.69,2
val_svm,0.62,0.05,0.58,0.65,2
val_rf,1.95,0.04,1.92,1.98,2
test_logreg,0.04,0.00,0.04,0.04,2
test_gboost,14.66,0.04,14.64,14.69,2
test_svm,0.61,0.05,0.58,0.65,2
test_rf,1.95,0.05,1.92,1.98,2
src_embeddings,44.96,0.12,44.88,45.05,2
src_pure,0.26,0.08,0.20,0.31,2
src_fddl,0.15,0.00,0.15,0.16,2
seed_total,413.72,0.12,413.63,413.80,2
