phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.69,0.10,11.62,11.76,2
partition,0.03,0.00,0.03,0.03,2
fit_encoder_dict,162.29,0.19,162.15,162.43,2
sparse_codes_train,86.43,0.74,85.91,86.95,2
sparse_codes_val,70.30,0.50,69.94,70.65,2
sparse_codes_test,70.04,0.41,69.75,70.33,2
val_logreg,0.14,0.01,0.14,0.15,2
val_gboost,105.55,0.73,105.03,106.07,2
val_svm,14.20,5.73,10.15,18.25,2
val_rf,5.82,0.28,5.62,6.02,2
test_logreg,0.14,0.00,0.14,0.14,2
test_gboost,104.37,1.47,103.33,105.41,2
test_svm,14.19,5.58,10.24,18.13,2
test_rf,5.80,0.29,5.60,6.00,2
seed_total,651.01,13.51,641.46,660.56,2
