phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.61,0.04,11.58,11.64,2
partition,0.04,0.00,0.04,0.04,2
fit_encoder_dict,163.26,1.41,162.26,164.25,2
sparse_codes_train,60.86,0.21,60.71,61.01,2
sparse_codes_val,45.69,0.34,45.45,45.93,2
sparse_codes_test,45.82,0.31,45.60,46.04,2
val_logreg,0.04,0.00,0.04,0.04,2
val_gboost,7.47,0.11,7.40,7.55,2
val_svm,0.28,0.00,0.28,0.28,2
val_rf,1.46,0.05,1.42,1.50,2
test_logreg,0.03,0.00,0.03,0.03,2
test_gboost,7.47,0.11,7.39,7.54,2
test_svm,0.28,0.00,0.27,0.28,2
test_rf,1.46,0.05,1.42,1.49,2
src_embeddings,45.77,0.40,45.49,46.05,2
src_pure,0.27,0.04,0.24,0.29,2
src_fddl,0.16,0.03,0.14,0.18,2
seed_total,391.96,0.30,391.75,392.18,2
