phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.58,0.03,11.56,11.61,2
partition,0.04,0.00,0.04,0.04,2
fit_encoder_dict,67.04,0.52,66.67,67.41,2
sparse_codes_train,4.09,0.08,4.03,4.14,2
sparse_codes_val,2.75,0.11,2.67,2.82,2
sparse_codes_test,2.69,0.02,2.67,2.70,2
val_logreg,0.06,0.00,0.06,0.06,2
val_gboost,7.72,0.01,7.71,7.73,2
val_svm,0.43,0.01,0.42,0.44,2
val_rf,1.27,0.03,1.25,1.29,2
test_logreg,0.05,0.00,0.05,0.05,2
test_gboost,7.68,0.04,7.65,7.71,2
test_svm,0.43,0.01,0.42,0.44,2
test_rf,1.26,0.02,1.25,1.28,2
src_embeddings,3.02,0.02,3.01,3.04,2
src_pure,0.39,0.00,0.38,0.39,2
src_fddl,0.31,0.01,0.30,0.31,2
seed_total,110.83,0.58,110.42,111.24,2
