phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,15.27,0.69,14.74,16.20,5
partition,0.10,0.01,0.08,0.11,5
fit_encoder_dict,102.32,1.48,100.25,103.69,5
sparse_codes_train,8.24,0.11,8.13,8.41,5
sparse_codes_val,5.84,0.18,5.65,6.13,5
sparse_codes_test,5.49,0.18,5.31,5.69,5
val_logreg,0.15,0.01,0.14,0.15,5
val_gboost,2.85,0.18,2.71,3.06,5
val_svm,0.20,0.02,0.19,0.23,5
val_rf,1.16,0.11,1.07,1.34,5
test_logreg,0.14,0.02,0.10,0.16,5
test_gboost,3.02,0.29,2.70,3.30,5
test_svm,0.22,0.03,0.19,0.25,5
test_rf,1.18,0.13,1.10,1.40,5
seed_total,146.19,1.80,143.25,147.45,5
