phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,12.52,0.05,12.49,12.56,2
partition,0.01,0.00,0.01,0.01,2
build_model,0.13,0.00,0.13,0.13,2
train,386.00,1.49,384.95,387.06,2
eval_train,1.40,0.05,1.37,1.44,2
eval_test,0.35,0.00,0.35,0.35,2
seed_total,400.42,1.39,399.44,401.40,2
