phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,16.34,0.88,14.86,17.07,5
partition,0.09,0.02,0.07,0.12,5
fit_encoder_dict,34.21,0.95,32.89,35.52,5
sparse_codes_train,16.77,0.46,16.30,17.43,5
sparse_codes_val,13.34,0.56,12.51,13.85,5
sparse_codes_test,12.68,0.30,12.40,13.16,5
val_logreg,0.12,0.02,0.09,0.13,5
val_gboost,10.25,0.45,9.62,10.89,5
val_svm,0.41,0.03,0.37,0.45,5
val_rf,2.15,0.13,1.93,2.25,5
test_logreg,0.10,0.02,0.07,0.13,5
test_gboost,9.85,0.20,9.69,10.18,5
test_svm,0.40,0.04,0.34,0.46,5
test_rf,2.15,0.19,1.85,2.34,5
seed_total,118.87,1.93,116.31,121.56,5
