master_seed,data_load,partition,fit_encoder_dict,sparse_codes_train,sparse_codes_val,sparse_codes_test,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,seed_total
47,11.565,0.038,28.913,4.580,3.105,3.075,0.224,71.437,0.937,12.555,0.255,72.401,1.327,14.387,224.816
86,18.077,0.053,39.549,6.851,5.661,4.956,0.177,76.983,1.304,13.493,0.188,77.257,1.160,13.492,259.223
33,18.195,0.052,36.803,4.019,3.340,2.996,0.190,71.557,0.877,11.945,0.187,71.476,0.831,12.050,234.540
85,11.671,0.036,28.606,4.608,3.076,3.071,0.183,70.464,0.892,12.041,0.186,70.625,0.943,11.925,218.345
97,11.635,0.036,29.269,4.293,3.522,3.175,0.260,72.145,0.859,11.899,0.256,72.369,0.817,11.966,222.519
