metric,mean,std_ddof1,ci95_halfwidth,n
GCN_train/Macro-Precision,0.4761,0.0003,0.0029,2
GCN_train/Macro-Recall,0.5000,0.0000,0.0000,2
GCN_train/Macro-F1,0.4878,0.0002,0.0015,2
GCN_train/Macro-PR-AUC,0.5000,0.0000,0.0000,2
GCN_train/Accuracy,0.9523,0.0006,0.0058,2
GCN_train/ROC-AUC,0.5000,0.0000,0.0000,2
GCN_train/MCC,0.0000,0.0000,0.0000,2
GCN_train/Minority-Precision,0.0000,0.0000,0.0000,2
GCN_train/Minority-Recall,0.0000,0.0000,0.0000,2
GCN_train/Minority-F1,0.0000,0.0000,0.0000,2
GCN_train/Minority-PR-AUC,0.0477,0.0006,0.0058,2
GCN/Macro-Precision,0.4780,0.0013,0.0116,2
GCN/Macro-Recall,0.5000,0.0000,0.0000,2
GCN/Macro-F1,0.4888,0.0007,0.0061,2
GCN/Macro-PR-AUC,0.5000,0.0000,0.0000,2
GCN/Accuracy,0.9561,0.0026,0.0232,2
GCN/ROC-AUC,0.5000,0.0000,0.0000,2
GCN/MCC,0.0000,0.0000,0.0000,2
GCN/Minority-Precision,0.0000,0.0000,0.0000,2
GCN/Minority-Recall,0.0000,0.0000,0.0000,2
GCN/Minority-F1,0.0000,0.0000,0.0000,2
GCN/Minority-PR-AUC,0.0439,0.0026,0.0232,2
