phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,16.30,1.71,15.35,19.34,5
partition,0.07,0.00,0.07,0.07,5
fit_encoder_dict,606.22,19.05,593.46,639.79,5
sparse_codes_train,23.90,0.74,23.31,24.94,5
sparse_codes_val,17.82,0.24,17.56,18.16,5
sparse_codes_test,17.28,0.11,17.09,17.37,5
val_logreg,0.19,0.02,0.17,0.20,5
val_gboost,5.29,0.13,5.07,5.39,5
val_svm,0.38,0.01,0.36,0.39,5
val_rf,1.89,0.04,1.86,1.95,5
test_logreg,0.19,0.01,0.18,0.20,5
test_gboost,5.29,0.10,5.17,5.39,5
test_svm,0.38,0.02,0.36,0.42,5
test_rf,1.89,0.04,1.83,1.92,5
seed_total,697.10,19.06,683.11,729.87,5
