master_seed,data_load,partition,fit_encoder_dict,sparse_codes_train,sparse_codes_val,sparse_codes_test,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,seed_total
62,11.727,0.031,21.630,7.175,5.816,5.406,0.035,4.051,0.112,1.033,0.030,4.065,0.111,1.031,63.394
16,11.595,0.031,22.011,7.285,5.866,5.460,0.034,4.038,0.129,1.040,0.032,4.041,0.120,1.036,63.859
52,11.687,0.031,21.049,7.028,5.695,5.303,0.032,4.066,0.109,1.062,0.037,4.073,0.111,1.064,62.461
69,11.663,0.033,21.268,7.065,5.755,5.307,0.035,4.065,0.098,1.067,0.033,4.065,0.097,1.068,62.752
85,11.879,0.031,21.628,7.197,5.745,5.392,0.034,4.083,0.102,1.041,0.032,4.082,0.099,1.040,63.506
