phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.49,0.05,11.45,11.57,5
partition,0.03,0.00,0.03,0.04,5
fit_encoder_dict,192.08,3.64,186.43,195.93,5
sparse_codes_train,198.55,2.82,194.40,202.05,5
sparse_codes_val,168.33,1.56,165.91,170.00,5
sparse_codes_test,168.17,1.70,165.37,169.76,5
val_logreg,0.37,0.04,0.33,0.42,5
val_gboost,296.03,0.96,295.01,297.04,5
val_svm,99.73,4.48,95.89,107.00,5
val_rf,10.03,0.25,9.71,10.28,5
test_logreg,0.35,0.03,0.32,0.38,5
test_gboost,296.09,1.24,295.07,297.61,5
test_svm,105.24,8.98,93.83,118.06,5
test_rf,10.08,0.37,9.68,10.53,5
seed_total,1556.61,19.46,1524.72,1574.84,5
