phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.46,0.08,11.39,11.60,5
partition,0.04,0.00,0.03,0.04,5
fit_encoder_dict,12.07,0.30,11.63,12.47,5
sparse_codes_train,5.19,0.27,4.92,5.64,5
sparse_codes_val,4.40,0.19,4.09,4.55,5
sparse_codes_test,4.13,0.09,4.05,4.27,5
val_logreg,0.03,0.00,0.03,0.04,5
val_gboost,3.82,0.05,3.76,3.90,5
val_svm,0.10,0.01,0.09,0.11,5
val_rf,1.04,0.01,1.02,1.05,5
test_logreg,0.03,0.00,0.03,0.03,5
test_gboost,3.82,0.05,3.78,3.90,5
test_svm,0.10,0.01,0.09,0.11,5
test_rf,1.04,0.02,1.02,1.06,5
seed_total,47.30,0.54,46.56,48.05,5
