master_seed,data_load,partition,fit_encoder_dict,sparse_codes_train,sparse_codes_val,sparse_codes_test,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,seed_total
37,12.033,0.034,80.528,2.231,2.116,1.682,0.041,1.478,0.099,0.642,0.040,1.472,0.097,0.640,104.257
89,11.962,0.040,81.394,2.214,2.134,1.679,0.040,1.464,0.099,0.641,0.038,1.515,0.087,0.647,105.081
