phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.68,0.20,11.50,11.95,5
partition,0.04,0.00,0.04,0.04,5
fit_encoder_dict,343.65,3.54,340.71,349.40,5
sparse_codes_train,61.61,1.08,60.41,62.73,5
sparse_codes_val,46.93,0.92,45.38,47.78,5
sparse_codes_test,46.67,0.54,45.81,47.20,5
val_logreg,0.14,0.02,0.12,0.18,5
val_gboost,118.97,0.80,117.93,119.81,5
val_svm,20.93,3.57,18.12,26.80,5
val_rf,5.58,0.17,5.35,5.80,5
test_logreg,0.13,0.01,0.12,0.14,5
test_gboost,118.90,0.60,118.25,119.71,5
test_svm,20.83,3.67,17.73,26.78,5
test_rf,5.57,0.18,5.36,5.83,5
src_embeddings,46.16,0.58,45.62,46.78,5
src_pure,1.55,0.47,1.29,2.38,5
src_fddl,1.46,0.47,1.24,2.30,5
seed_total,850.82,7.42,840.65,859.62,5
