master_seed,data_load,partition,fit_encoder_dict,sparse_codes_train,sparse_codes_val,sparse_codes_test,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,src_embeddings,src_pure,src_fddl,seed_total
88,11.949,0.038,349.397,62.091,46.943,47.200,0.143,119.807,19.586,5.805,0.135,119.706,19.509,5.826,46.778,2.384,2.302,859.623
51,11.830,0.037,344.141,62.727,47.339,46.815,0.143,119.746,18.121,5.533,0.131,119.349,17.729,5.451,45.617,1.294,1.236,847.257
1,11.502,0.036,340.830,60.499,47.779,45.806,0.179,117.932,26.798,5.589,0.127,118.246,26.776,5.589,45.632,1.391,1.244,855.974
95,11.547,0.037,343.192,62.320,45.384,46.969,0.125,118.646,21.722,5.349,0.119,118.604,21.811,5.360,46.776,1.374,1.241,850.594
30,11.587,0.037,340.707,60.406,47.197,46.571,0.123,118.708,18.416,5.638,0.118,118.592,18.340,5.600,45.998,1.326,1.262,840.648
