master_seed,data_load,partition,fit_encoder_dict,sparse_codes_train,sparse_codes_val,sparse_codes_test,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,src_embeddings,src_pure,src_fddl,seed_total
5,11.583,0.036,128.568,3.825,3.113,2.751,0.056,9.057,0.436,1.230,0.049,9.048,0.434,1.212,3.059,0.480,0.425,175.385
82,11.584,0.033,130.091,3.655,3.189,2.976,0.052,9.126,0.431,1.243,0.049,8.910,0.431,1.242,3.087,0.554,0.418,177.088
