phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.58,0.00,11.58,11.58,2
partition,0.03,0.00,0.03,0.04,2
fit_encoder_dict,129.33,1.08,128.57,130.09,2
sparse_codes_train,3.74,0.12,3.65,3.83,2
sparse_codes_val,3.15,0.05,3.11,3.19,2
sparse_codes_test,2.86,0.16,2.75,2.98,2
val_logreg,0.05,0.00,0.05,0.06,2
val_gboost,9.09,0.05,9.06,9.13,2
val_svm,0.43,0.00,0.43,0.44,2
val_rf,1.24,0.01,1.23,1.24,2
test_logreg,0.05,0.00,0.05,0.05,2
test_gboost,8.98,0.10,8.91,9.05,2
test_svm,0.43,0.00,0.43,0.43,2
test_rf,1.23,0.02,1.21,1.24,2
src_embeddings,3.07,0.02,3.06,3.09,2
src_pure,0.52,0.05,0.48,0.55,2
src_fddl,0.42,0.00,0.42,0.42,2
seed_total,176.24,1.20,175.38,177.09,2
