phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.59,0.11,11.47,11.76,5
partition,0.03,0.00,0.03,0.04,5
fit_encoder_dict,56.38,1.73,54.34,58.53,5
sparse_codes_train,52.65,1.14,51.22,53.88,5
sparse_codes_val,44.72,0.63,44.00,45.62,5
sparse_codes_test,44.43,0.68,43.62,45.23,5
val_logreg,0.13,0.01,0.11,0.14,5
val_gboost,101.13,0.87,100.41,102.46,5
val_svm,4.28,1.48,2.59,6.14,5
val_rf,5.80,0.16,5.54,5.95,5
test_logreg,0.12,0.01,0.11,0.12,5
test_gboost,100.35,0.72,99.21,101.03,5
test_svm,4.21,1.40,2.58,5.83,5
test_rf,5.77,0.14,5.55,5.90,5
seed_total,431.60,6.32,424.31,439.70,5
