phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.55,0.10,11.48,11.62,2
partition,0.04,0.00,0.04,0.04,2
fit_encoder_dict,342.33,6.06,338.05,346.61,2
sparse_codes_train,59.77,0.49,59.43,60.12,2
sparse_codes_val,45.80,0.29,45.59,46.00,2
sparse_codes_test,45.36,0.83,44.77,45.94,2
val_logreg,0.13,0.00,0.13,0.13,2
val_gboost,112.56,0.67,112.08,113.03,2
val_svm,18.15,2.46,16.40,19.89,2
val_rf,5.44,0.04,5.41,5.47,2
test_logreg,0.12,0.01,0.11,0.13,2
test_gboost,112.65,0.56,112.26,113.05,2
test_svm,18.13,2.42,16.42,19.84,2
test_rf,5.45,0.03,5.43,5.47,2
src_embeddings,44.95,1.13,44.16,45.75,2
src_pure,1.00,0.55,0.61,1.39,2
src_fddl,0.85,0.57,0.45,1.25,2
seed_total,824.32,9.42,817.66,830.98,2
