phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.84,0.03,11.81,11.86,2
partition,0.03,0.00,0.03,0.03,2
fit_encoder_dict,2283.85,34.20,2259.66,2308.03,2
sparse_codes_train,71.84,0.40,71.56,72.13,2
sparse_codes_val,52.51,0.96,51.83,53.19,2
sparse_codes_test,52.89,1.85,51.58,54.20,2
val_logreg,0.11,0.01,0.10,0.11,2
val_gboost,2.69,0.00,2.69,2.69,2
val_svm,0.22,0.00,0.22,0.23,2
val_rf,1.18,0.01,1.18,1.19,2
test_logreg,0.10,0.01,0.09,0.11,2
test_gboost,2.69,0.01,2.69,2.70,2
test_svm,0.22,0.00,0.21,0.22,2
test_rf,1.18,0.01,1.17,1.18,2
seed_total,2482.51,35.53,2457.39,2507.63,2
