master_seed,data_load,partition,fit_encoder_dict,sparse_codes_train,sparse_codes_val,sparse_codes_test,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,src_embeddings,src_pure,src_fddl,seed_total
73,11.676,0.035,268.785,3.685,3.182,2.758,0.078,18.815,0.823,1.665,0.060,18.728,0.810,1.630,3.070,1.297,1.113,338.228
80,11.474,0.035,278.325,3.836,3.205,2.806,0.070,18.886,0.851,1.677,0.063,18.942,0.854,1.682,3.085,1.216,1.204,348.229
