phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.57,0.14,11.47,11.68,2
partition,0.04,0.00,0.04,0.04,2
fit_encoder_dict,273.56,6.75,268.79,278.32,2
sparse_codes_train,3.76,0.11,3.69,3.84,2
sparse_codes_val,3.19,0.02,3.18,3.21,2
sparse_codes_test,2.78,0.03,2.76,2.81,2
val_logreg,0.07,0.01,0.07,0.08,2
val_gboost,18.85,0.05,18.82,18.89,2
val_svm,0.84,0.02,0.82,0.85,2
val_rf,1.67,0.01,1.67,1.68,2
test_logreg,0.06,0.00,0.06,0.06,2
test_gboost,18.84,0.15,18.73,18.94,2
test_svm,0.83,0.03,0.81,0.85,2
test_rf,1.66,0.04,1.63,1.68,2
src_embeddings,3.08,0.01,3.07,3.08,2
src_pure,1.26,0.06,1.22,1.30,2
src_fddl,1.16,0.06,1.11,1.20,2
seed_total,343.23,7.07,338.23,348.23,2
