metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.6470,0.0138,0.1238,2
LogisticRegression/Macro-Recall,0.7020,0.0471,0.4235,2
LogisticRegression/Macro-F1,0.6664,0.0056,0.0507,2
LogisticRegression/Macro-PR-AUC,0.6321,0.0050,0.0451,2
LogisticRegression/Accuracy,0.9404,0.0104,0.0937,2
LogisticRegression/ROC-AUC,0.8296,0.0109,0.0982,2
LogisticRegression/MCC,0.3423,0.0242,0.2175,2
LogisticRegression/Minority-Precision,0.3168,0.0316,0.2840,2
LogisticRegression/Minority-Recall,0.4437,0.1096,0.9843,2
LogisticRegression/Minority-F1,0.3642,0.0171,0.1533,2
LogisticRegression/Minority-PR-AUC,0.2757,0.0100,0.0895,2
GradientBoosting/Macro-Precision,0.6326,0.0244,0.2196,2
GradientBoosting/Macro-Recall,0.7059,0.0358,0.3213,2
GradientBoosting/Macro-F1,0.6560,0.0106,0.0948,2
GradientBoosting/Macro-PR-AUC,0.6348,0.0112,0.1009,2
GradientBoosting/Accuracy,0.9326,0.0170,0.1527,2
GradientBoosting/ROC-AUC,0.8173,0.0022,0.0193,2
GradientBoosting/MCC,0.3277,0.0018,0.0160,2
GradientBoosting/Minority-Precision,0.2874,0.0522,0.4686,2
GradientBoosting/Minority-Recall,0.4601,0.0930,0.8351,2
GradientBoosting/Minority-F1,0.3477,0.0117,0.1051,2
GradientBoosting/Minority-PR-AUC,0.2811,0.0230,0.2063,2
LinearSVM/Macro-Precision,0.6614,0.0028,0.0255,2
LinearSVM/Macro-Recall,0.6919,0.0103,0.0924,2
LinearSVM/Macro-F1,0.6750,0.0024,0.0216,2
LinearSVM/Macro-PR-AUC,0.6354,0.0007,0.0059,2
LinearSVM/Accuracy,0.9469,0.0017,0.0150,2
LinearSVM/ROC-AUC,0.8279,0.0119,0.1070,2
LinearSVM/MCC,0.3519,0.0063,0.0569,2
LinearSVM/Minority-Precision,0.3466,0.0065,0.0587,2
LinearSVM/Minority-Recall,0.4155,0.0232,0.2088,2
LinearSVM/Minority-F1,0.3777,0.0057,0.0516,2
LinearSVM/Minority-PR-AUC,0.2823,0.0018,0.0158,2
RandomForest/Macro-Precision,0.7146,0.0260,0.2336,2
RandomForest/Macro-Recall,0.7063,0.0056,0.0505,2
RandomForest/Macro-F1,0.7097,0.0095,0.0856,2
RandomForest/Macro-PR-AUC,0.6967,0.0034,0.0303,2
RandomForest/Accuracy,0.9573,0.0045,0.0405,2
RandomForest/ROC-AUC,0.8640,0.0031,0.0276,2
RandomForest/MCC,0.4203,0.0198,0.1778,2
RandomForest/Minority-Precision,0.4520,0.0525,0.4719,2
RandomForest/Minority-Recall,0.4343,0.0166,0.1491,2
RandomForest/Minority-F1,0.4416,0.0166,0.1495,2
RandomForest/Minority-PR-AUC,0.4022,0.0069,0.0619,2
SRC_pure/Macro-Precision,0.5738,0.0014,0.0126,2
SRC_pure/Macro-Recall,0.7421,0.0101,0.0906,2
SRC_pure/Macro-F1,0.5931,0.0016,0.0140,2
SRC_pure/Macro-PR-AUC,0.6204,0.0071,0.0636,2
SRC_pure/Accuracy,0.8658,0.0021,0.0185,2
SRC_pure/ROC-AUC,0.8190,0.0136,0.1220,2
SRC_pure/MCC,0.2674,0.0081,0.0729,2
SRC_pure/Minority-Precision,0.1654,0.0018,0.0165,2
SRC_pure/Minority-Recall,0.6080,0.0232,0.2088,2
SRC_pure/Minority-F1,0.2600,0.0044,0.0395,2
SRC_pure/Minority-PR-AUC,0.2525,0.0157,0.1410,2
SRC_fddl/Macro-Precision,0.5734,0.0016,0.0147,2
SRC_fddl/Macro-Recall,0.7418,0.0103,0.0924,2
SRC_fddl/Macro-F1,0.5925,0.0019,0.0175,2
SRC_fddl/Macro-PR-AUC,0.6201,0.0070,0.0628,2
SRC_fddl/Accuracy,0.8652,0.0017,0.0150,2
SRC_fddl/ROC-AUC,0.8188,0.0136,0.1223,2
SRC_fddl/MCC,0.2665,0.0086,0.0776,2
SRC_fddl/Minority-Precision,0.1646,0.0023,0.0206,2
SRC_fddl/Minority-Recall,0.6080,0.0232,0.2088,2
SRC_fddl/Minority-F1,0.2591,0.0050,0.0445,2
SRC_fddl/Minority-PR-AUC,0.2520,0.0155,0.1394,2
