phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.64,0.07,11.53,11.71,5
partition,0.04,0.00,0.04,0.04,5
fit_encoder_dict,22.91,0.72,21.81,23.73,5
sparse_codes_train,16.51,0.54,15.64,17.07,5
sparse_codes_val,13.59,0.25,13.32,14.00,5
sparse_codes_test,13.48,0.30,13.19,13.96,5
val_logreg,0.05,0.00,0.04,0.05,5
val_gboost,29.00,0.49,28.74,29.88,5
val_svm,0.93,0.11,0.82,1.06,5
val_rf,3.00,0.07,2.91,3.09,5
test_logreg,0.04,0.00,0.04,0.05,5
test_gboost,28.85,0.13,28.74,29.06,5
test_svm,0.89,0.03,0.84,0.93,5
test_rf,2.98,0.07,2.88,3.08,5
seed_total,143.95,2.15,141.40,147.31,5
