master_seed,data_load,partition,fit_encoder_dict,sparse_codes_train,sparse_codes_val,sparse_codes_test,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,seed_total
91,11.708,0.035,22.736,16.415,13.316,13.273,0.051,28.856,1.064,2.977,0.047,28.748,0.926,2.972,143.143
39,11.530,0.037,23.726,17.069,14.001,13.957,0.048,29.878,1.022,3.031,0.047,29.059,0.908,2.979,147.311
5,11.673,0.041,23.275,16.802,13.570,13.505,0.050,28.766,0.928,2.908,0.047,28.806,0.885,2.884,144.163
97,11.627,0.037,22.986,16.644,13.534,13.498,0.043,28.736,0.816,2.997,0.041,28.914,0.839,2.998,143.730
13,11.671,0.036,21.806,15.637,13.541,13.188,0.043,28.769,0.844,3.089,0.040,28.744,0.886,3.084,141.398
