phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,8.55,0.18,8.42,8.68,2
partition,0.04,0.00,0.04,0.04,2
fit_encoder_dict,167.08,181.66,38.62,295.53,2
sparse_codes_train,3.09,0.03,3.07,3.11,2
sparse_codes_val,2.02,0.08,1.97,2.08,2
sparse_codes_test,2.00,0.11,1.93,2.08,2
val_logreg,1.17,0.46,0.84,1.49,2
val_gboost,15.87,16.80,3.99,27.75,2
val_svm,1.07,1.25,0.18,1.96,2
val_rf,1.75,0.97,1.07,2.44,2
test_logreg,1.22,0.70,0.72,1.71,2
test_gboost,15.98,16.90,4.03,27.93,2
test_svm,1.04,1.21,0.18,1.90,2
test_rf,1.74,0.99,1.04,2.44,2
src_embeddings,2.35,0.04,2.33,2.38,2
src_pure,0.26,0.12,0.17,0.34,2
src_fddl,0.27,0.12,0.19,0.36,2
seed_total,225.63,221.67,68.89,382.37,2
