phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.57,0.03,11.54,11.61,5
partition,0.03,0.00,0.03,0.04,5
fit_encoder_dict,229.74,1.53,228.10,231.57,5
sparse_codes_train,61.09,0.83,60.42,62.45,5
sparse_codes_val,46.52,0.52,46.01,47.36,5
sparse_codes_test,45.83,0.33,45.39,46.20,5
val_logreg,0.07,0.00,0.06,0.07,5
val_gboost,58.89,0.32,58.49,59.39,5
val_svm,6.85,0.52,6.06,7.47,5
val_rf,3.80,0.14,3.65,3.99,5
test_logreg,0.06,0.00,0.06,0.07,5
test_gboost,58.75,0.14,58.57,58.88,5
test_svm,6.79,0.59,5.87,7.51,5
test_rf,3.79,0.12,3.64,3.97,5
src_embeddings,45.76,0.34,45.32,46.18,5
src_pure,0.41,0.06,0.34,0.46,5
src_fddl,0.28,0.01,0.28,0.29,5
seed_total,580.28,1.82,577.59,582.13,5
