master_seed,data_load,partition,fit_encoder_dict,sparse_codes_train,sparse_codes_val,sparse_codes_test,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,seed_total
18,11.680,0.033,11.850,4.008,2.709,2.744,0.042,1.757,0.106,0.705,0.036,1.743,0.104,0.700,38.517
58,11.505,0.036,12.053,3.622,3.164,2.799,0.044,1.751,0.105,0.698,0.037,1.746,0.104,0.703,38.385
12,11.516,0.037,11.786,3.533,3.040,2.765,0.052,1.737,0.104,0.715,0.041,1.734,0.104,0.711,37.893
90,11.487,0.035,12.043,4.067,2.761,2.769,0.050,1.747,0.104,0.692,0.041,1.750,0.103,0.693,38.360
38,11.503,0.036,11.879,4.025,2.743,2.810,0.042,1.753,0.102,0.713,0.036,1.738,0.101,0.713,38.211
