phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.50,0.06,11.43,11.59,5
partition,0.04,0.00,0.03,0.04,5
fit_wl_fddl,1846.54,89.32,1707.55,1928.69,5
sparse_codes_train,4.68,0.22,4.38,4.94,5
sparse_codes_val,3.37,0.23,3.10,3.73,5
sparse_codes_test,3.29,0.12,3.10,3.41,5
val_logreg,0.29,0.01,0.28,0.30,5
val_gboost,82.67,0.65,81.58,83.30,5
val_svm,7.32,0.97,6.07,8.37,5
val_rf,4.15,0.14,3.97,4.33,5
test_logreg,0.29,0.01,0.28,0.29,5
test_gboost,82.60,0.72,81.60,83.53,5
test_svm,7.32,1.01,5.96,8.40,5
test_rf,4.14,0.14,3.94,4.29,5
src_embeddings,3.11,0.11,2.95,3.25,5
src_pure,1.94,0.10,1.84,2.07,5
src_fddl,1.79,0.03,1.74,1.82,5
seed_total,2065.05,87.21,1929.16,2144.27,5
