master_seed,data_load,partition,fit_wl_fddl,sparse_codes_train,sparse_codes_val,sparse_codes_test,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,src_embeddings,src_pure,src_fddl,seed_total
67,11.589,0.037,1921.097,4.937,3.429,3.406,0.294,81.581,7.377,4.199,0.289,81.603,7.376,4.229,3.163,1.940,1.804,2138.367
99,11.529,0.033,1829.577,4.753,3.282,3.277,0.282,82.975,6.656,4.217,0.281,82.913,6.712,4.169,3.086,2.074,1.794,2047.631
68,11.470,0.037,1928.694,4.378,3.729,3.352,0.292,82.849,6.072,3.969,0.289,82.288,5.963,3.941,3.255,1.859,1.792,2144.273
76,11.426,0.038,1845.760,4.766,3.291,3.297,0.302,82.664,8.118,4.062,0.294,82.644,8.147,4.056,3.108,2.009,1.820,2065.821
45,11.485,0.032,1707.549,4.544,3.105,3.096,0.289,83.304,8.371,4.326,0.281,83.531,8.403,4.294,2.949,1.837,1.743,1929.157
