phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.68,0.06,11.64,11.72,2
partition,0.04,0.00,0.04,0.04,2
fit_encoder_dict,157.73,0.95,157.06,158.40,2
sparse_codes_train,61.23,0.52,60.86,61.60,2
sparse_codes_val,46.59,0.25,46.41,46.76,2
sparse_codes_test,45.31,1.24,44.43,46.19,2
val_logreg,0.05,0.01,0.04,0.06,2
val_gboost,12.97,0.05,12.94,13.01,2
val_svm,0.29,0.05,0.26,0.33,2
val_rf,3.22,0.15,3.11,3.32,2
test_logreg,0.05,0.01,0.04,0.06,2
test_gboost,12.93,0.05,12.89,12.96,2
test_svm,0.27,0.01,0.26,0.28,2
test_rf,3.21,0.16,3.09,3.32,2
seed_total,355.59,1.82,354.30,356.88,2
