phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,20.02,3.10,16.57,23.02,5
partition,0.09,0.02,0.07,0.11,5
fit_encoder_dict,4069.70,370.59,3652.21,4346.50,5
sparse_codes_train,1666.42,408.99,1169.57,2032.53,5
sparse_codes_val,1293.56,242.82,1012.12,1528.05,5
sparse_codes_test,1328.70,230.69,944.69,1520.34,5
val_logreg,0.67,0.15,0.56,0.92,5
val_gboost,62.20,9.28,46.71,68.76,5
val_svm,3.98,0.13,3.87,4.21,5
val_rf,7.10,0.87,5.81,8.01,5
test_logreg,0.56,0.13,0.47,0.78,5
test_gboost,59.72,7.71,46.12,64.86,5
test_svm,4.04,0.13,3.90,4.20,5
test_rf,7.21,0.96,5.73,8.32,5
seed_total,8523.97,1236.22,7015.00,9596.48,5
