phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,12.11,0.08,12.05,12.16,2
partition,0.03,0.00,0.03,0.03,2
fit_encoder_dict,5659.60,73.07,5607.93,5711.27,2
sparse_codes_train,86.29,0.05,86.25,86.33,2
sparse_codes_val,65.41,0.99,64.71,66.11,2
sparse_codes_test,65.88,2.64,64.02,67.75,2
val_logreg,0.11,0.01,0.11,0.12,2
val_gboost,9.56,0.22,9.41,9.72,2
val_svm,0.38,0.03,0.35,0.40,2
val_rf,1.85,0.18,1.72,1.98,2
test_logreg,0.10,0.00,0.10,0.10,2
test_gboost,9.55,0.16,9.44,9.66,2
test_svm,0.37,0.04,0.35,0.40,2
test_rf,1.86,0.20,1.72,2.00,2
seed_total,5914.32,68.62,5865.80,5962.84,2
