master_seed,data_load,partition,fit_encoder_dict,sparse_codes_train,sparse_codes_val,sparse_codes_test,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,seed_total
78,12.047,0.031,5607.933,86.327,66.110,67.748,0.118,9.717,0.399,1.983,0.098,9.660,0.398,2.003,5865.795
81,12.164,0.033,5711.270,86.252,64.709,64.021,0.107,9.410,0.353,1.722,0.100,9.436,0.347,1.717,5962.841
