metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Accuracy,0.6869,0.0644,0.5787,2
LogisticRegression/Precision,0.6643,0.1018,0.9143,2
LogisticRegression/Recall,0.8008,0.1192,1.0710,2
LogisticRegression/F1-Score,0.7179,0.0117,0.1051,2
LogisticRegression/ROC-AUC,0.7899,0.0166,0.1496,2
LogisticRegression/PR-AUC,0.7891,0.0309,0.2778,2
GradientBoosting/Accuracy,0.7201,0.0121,0.1085,2
GradientBoosting/Precision,0.6901,0.0093,0.0836,2
GradientBoosting/Recall,0.7893,0.0163,0.1460,2
GradientBoosting/F1-Score,0.7363,0.0124,0.1112,2
GradientBoosting/ROC-AUC,0.8177,0.0092,0.0830,2
GradientBoosting/PR-AUC,0.8373,0.0007,0.0066,2
LinearSVM/Accuracy,0.7144,0.0282,0.2532,2
LinearSVM/Precision,0.6709,0.0407,0.3661,2
LinearSVM/Recall,0.8391,0.0379,0.3408,2
LinearSVM/F1-Score,0.7446,0.0102,0.0916,2
LinearSVM/ROC-AUC,0.8056,0.0147,0.1319,2
LinearSVM/PR-AUC,0.8022,0.0320,0.2876,2
RandomForest/Accuracy,0.7486,0.0067,0.0603,2
RandomForest/Precision,0.7214,0.0074,0.0664,2
RandomForest/Recall,0.8027,0.0406,0.3651,2
RandomForest/F1-Score,0.7595,0.0141,0.1269,2
RandomForest/ROC-AUC,0.8381,0.0158,0.1416,2
RandomForest/PR-AUC,0.8545,0.0105,0.0945,2
SRC_pure/balanced_acc,0.7144,0.0158,0.1417,2
SRC_pure/precision,0.7741,0.0455,0.4091,2
SRC_pure/recall,0.6035,0.0190,0.1709,2
SRC_pure/f1_score,0.6775,0.0055,0.0496,2
SRC_pure/roc_auc,0.7699,0.0122,0.1099,2
SRC_pure/pr_auc,0.7947,0.0314,0.2821,2
SRC_fddl/balanced_acc,0.7129,0.0037,0.0337,2
SRC_fddl/precision,0.8089,0.0290,0.2605,2
SRC_fddl/recall,0.5555,0.0217,0.1950,2
SRC_fddl/f1_score,0.6583,0.0056,0.0502,2
SRC_fddl/roc_auc,0.7764,0.0141,0.1271,2
SRC_fddl/pr_auc,0.7993,0.0335,0.3011,2
