phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,22.08,3.29,16.29,24.01,5
partition,0.11,0.02,0.09,0.12,5
fit_encoder_dict,10505.80,760.33,9935.52,11767.32,5
sparse_codes_train,89.59,1.99,87.88,92.78,5
sparse_codes_val,67.03,1.91,65.48,70.15,5
sparse_codes_test,66.95,1.60,65.48,69.28,5
val_logreg,0.36,0.03,0.32,0.40,5
val_gboost,12.62,0.31,12.15,12.95,5
val_svm,0.95,0.06,0.90,1.05,5
val_rf,5.14,0.24,4.84,5.40,5
test_logreg,0.36,0.05,0.31,0.41,5
test_gboost,12.69,0.32,12.24,13.09,5
test_svm,0.96,0.05,0.88,1.02,5
test_rf,5.19,0.17,4.95,5.33,5
seed_total,10789.82,756.45,10223.81,12046.77,5
