phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,20.58,3.70,16.31,22.97,3
partition,0.10,0.02,0.08,0.12,3
fit_encoder_dict,3433.71,556.48,3092.40,4075.86,3
sparse_codes_train,30.59,1.02,29.50,31.51,3
sparse_codes_val,22.76,0.51,22.19,23.14,3
sparse_codes_test,22.39,0.69,21.64,22.98,3
val_logreg,0.22,0.03,0.19,0.24,3
val_gboost,6.95,0.92,5.89,7.55,3
val_svm,0.48,0.06,0.44,0.55,3
val_rf,3.10,0.51,2.59,3.60,3
test_logreg,0.23,0.04,0.19,0.26,3
test_gboost,7.01,0.81,6.08,7.59,3
test_svm,0.50,0.08,0.45,0.59,3
test_rf,2.95,0.46,2.61,3.47,3
seed_total,3551.57,554.08,3207.70,4190.75,3
