phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.49,0.17,11.37,11.61,2
partition,0.03,0.00,0.03,0.04,2
fit_encoder_dict,5575.05,226.44,5414.94,5735.17,2
sparse_codes_train,4.68,0.02,4.66,4.69,2
sparse_codes_val,3.97,0.03,3.95,3.99,2
sparse_codes_test,3.57,0.04,3.54,3.59,2
val_logreg,0.72,0.02,0.70,0.73,2
val_gboost,164.43,0.16,164.32,164.54,2
val_svm,38.49,1.36,37.52,39.45,2
val_rf,5.29,0.11,5.21,5.37,2
test_logreg,0.72,0.00,0.72,0.72,2
test_gboost,171.25,9.61,164.45,178.04,2
test_svm,38.99,0.01,38.98,38.99,2
test_rf,5.29,0.13,5.20,5.38,2
src_embeddings,3.10,0.02,3.09,3.11,2
src_pure,2.71,0.16,2.60,2.82,2
src_fddl,2.70,0.08,2.64,2.76,2
seed_total,6032.50,218.27,5878.16,6186.84,2
