master_seed,LogisticRegression/Accuracy,LogisticRegression/Precision,LogisticRegression/Recall,LogisticRegression/F1-Score,LogisticRegression/ROC-AUC,LogisticRegression/PR-AUC,GradientBoosting/Accuracy,GradientBoosting/Precision,GradientBoosting/Recall,GradientBoosting/F1-Score,GradientBoosting/ROC-AUC,GradientBoosting/PR-AUC,LinearSVM/Accuracy,LinearSVM/Precision,LinearSVM/Recall,LinearSVM/F1-Score,LinearSVM/ROC-AUC,LinearSVM/PR-AUC,RandomForest/Accuracy,RandomForest/Precision,RandomForest/Recall,RandomForest/F1-Score,RandomForest/ROC-AUC,RandomForest/PR-AUC,SRC_pure/balanced_acc,SRC_pure/precision,SRC_pure/recall,SRC_pure/f1_score,SRC_pure/roc_auc,SRC_pure/pr_auc,SRC_fddl/balanced_acc,SRC_fddl/precision,SRC_fddl/recall,SRC_fddl/f1_score,SRC_fddl/roc_auc,SRC_fddl/pr_auc
41,0.9148168200685797,0.27155172413793105,0.4846153846153846,0.34806629834254144,0.8468038541651494,0.2685944425824852,0.9281718101425736,0.3275,0.5038461538461538,0.396969696969697,0.8327472943644123,0.2811945298131758,0.9117487818083378,0.27054108216432865,0.5192307692307693,0.3557312252964427,0.8482014624269879,0.26773511734367433,0.952896589063346,0.4979757085020243,0.47307692307692306,0.48520710059171596,0.8686433950446446,0.42501762716427116,0.6794,0.2772,0.4115,0.3313,0.737,0.2102,0.662,0.2866,0.3692,0.3227,0.7397,0.2113
42,0.943331528604945,0.3969465648854962,0.4,0.39846743295019155,0.8490007719983104,0.3248319989025893,0.9325031582746797,0.3425414364640884,0.47692307692307695,0.3987138263665595,0.8429562437184099,0.34620432815339,0.935932142212597,0.36231884057971014,0.4807692307692308,0.4132231404958678,0.8610017042226851,0.33559913014391607,0.9507309149972929,0.4758364312267658,0.49230769230769234,0.4839319470699433,0.8625799309571324,0.4296485196998764,0.6597,0.2811,0.3654,0.3177,0.709,0.2275,0.6528,0.3145,0.3423,0.3278,0.7123,0.2278
43,0.9220357336220899,0.2871287128712871,0.4461538461538462,0.3493975903614458,0.8194565423215301,0.2626181404781095,0.9500090236419418,0.4577114427860697,0.35384615384615387,0.39913232104121477,0.8256543778130598,0.30636055795908523,0.9281718101425736,0.3114754098360656,0.43846153846153846,0.36421725239616615,0.8213989192023654,0.2737431296446102,0.9611983396498827,0.6285714285714286,0.4230769230769231,0.5057471264367817,0.8664770658237804,0.454739072261138,0.6556,0.3074,0.35,0.3273,0.7348,0.2405,0.6415,0.3241,0.3154,0.3197,0.7383,0.2402
44,0.9426096372495939,0.39338235294117646,0.4115384615384615,0.40225563909774437,0.8647051112114547,0.30344189591678744,0.9500090236419418,0.4666666666666667,0.4576923076923077,0.4621359223300971,0.8620045737258387,0.3898217578863618,0.9353907236960838,0.3496932515337423,0.43846153846153846,0.3890784982935154,0.8558850305157821,0.3127409027502111,0.9548817902905613,0.5219298245614035,0.4576923076923077,0.48770491803278687,0.8801184944576348,0.47756049678706863,0.6233,0.2691,0.2846,0.2766,0.6904,0.172,0.6173,0.2974,0.2654,0.2805,0.6959,0.1745
45,0.9232990434939542,0.30403800475059384,0.49230769230769234,0.37591776798825255,0.8461895328681922,0.29619146066248925,0.9462190940263491,0.4251968503937008,0.4153846153846154,0.42023346303501946,0.8254533669322535,0.32128626827828644,0.9339469409853817,0.3502824858757062,0.47692307692307695,0.40390879478827363,0.8496744497691288,0.3194813194865475,0.9480238224147266,0.44573643410852715,0.4423076923076923,0.444015444015444,0.8611586529357784,0.42316025334723056,0.6593,0.2414,0.3769,0.2943,0.7238,0.1955,0.6545,0.2657,0.3577,0.3049,0.7275,0.1963
