phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,16.23,0.43,15.83,16.90,5
partition,0.07,0.00,0.07,0.07,5
fit_encoder_dict,242.07,1.65,239.92,243.68,5
sparse_codes_train,11.94,0.11,11.80,12.05,5
sparse_codes_val,8.98,0.10,8.82,9.08,5
sparse_codes_test,8.56,0.14,8.34,8.69,5
val_logreg,0.13,0.01,0.12,0.15,5
val_gboost,4.05,0.12,3.88,4.21,5
val_svm,0.26,0.01,0.25,0.28,5
val_rf,1.51,0.07,1.45,1.58,5
test_logreg,0.12,0.02,0.10,0.14,5
test_gboost,4.08,0.08,3.96,4.18,5
test_svm,0.25,0.01,0.25,0.27,5
test_rf,1.53,0.08,1.43,1.62,5
seed_total,299.78,1.32,298.28,301.21,5
