phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.75,0.08,11.67,11.89,5
partition,0.04,0.00,0.04,0.04,5
fit_encoder_dict,15.13,0.31,14.82,15.58,5
sparse_codes_train,3.86,0.19,3.68,4.07,5
sparse_codes_val,3.17,0.36,2.75,3.58,5
sparse_codes_test,2.81,0.10,2.73,2.98,5
val_logreg,0.08,0.01,0.06,0.10,5
val_gboost,11.71,0.19,11.50,11.91,5
val_svm,0.27,0.01,0.27,0.28,5
val_rf,2.00,0.04,1.93,2.04,5
test_logreg,0.07,0.01,0.06,0.08,5
test_gboost,11.54,0.20,11.28,11.76,5
test_svm,0.27,0.01,0.26,0.28,5
test_rf,2.01,0.06,1.93,2.07,5
seed_total,64.74,0.67,64.13,65.86,5
