phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.84,0.07,11.74,11.94,5
partition,0.04,0.00,0.03,0.04,5
fit_wl_fddl,41.79,1.12,40.19,43.03,5
sparse_codes_train,3.83,0.15,3.63,4.03,5
sparse_codes_val,3.18,0.29,2.69,3.46,5
sparse_codes_test,2.90,0.10,2.81,3.02,5
val_logreg,0.05,0.01,0.04,0.06,5
val_gboost,2.73,0.05,2.68,2.79,5
val_svm,0.15,0.01,0.14,0.16,5
val_rf,0.78,0.02,0.76,0.80,5
test_logreg,0.04,0.00,0.04,0.04,5
test_gboost,2.72,0.05,2.67,2.79,5
test_svm,0.15,0.01,0.14,0.16,5
test_rf,0.78,0.02,0.76,0.80,5
src_embeddings,3.13,0.05,3.04,3.16,5
src_pure,0.39,0.06,0.33,0.47,5
src_fddl,0.23,0.01,0.22,0.24,5
seed_total,74.75,1.32,72.76,75.96,5
