master_seed,data_load,partition,fit_wl_fddl,sparse_codes_train,sparse_codes_val,sparse_codes_test,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,src_embeddings,src_pure,src_fddl,seed_total
87,11.939,0.044,40.187,4.033,2.693,2.871,0.045,2.728,0.142,0.772,0.037,2.713,0.140,0.766,3.045,0.367,0.222,72.762
63,11.812,0.034,42.647,3.795,3.458,2.805,0.056,2.765,0.159,0.796,0.041,2.760,0.152,0.802,3.142,0.471,0.234,75.950
74,11.743,0.036,43.033,3.804,3.342,2.822,0.059,2.676,0.149,0.791,0.041,2.681,0.145,0.793,3.156,0.442,0.230,75.959
37,11.840,0.039,41.440,3.630,3.265,2.984,0.044,2.795,0.148,0.771,0.040,2.789,0.145,0.770,3.139,0.334,0.239,74.432
59,11.884,0.034,41.658,3.866,3.164,3.017,0.041,2.686,0.161,0.755,0.038,2.668,0.160,0.761,3.147,0.350,0.234,74.644
