phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.91,0.10,11.82,12.08,5
partition,0.03,0.00,0.03,0.03,5
fit_encoder_dict,1059.23,1.70,1057.65,1061.06,5
sparse_codes_train,99.23,6.87,95.08,111.46,5
sparse_codes_val,71.84,0.60,71.41,72.89,5
sparse_codes_test,72.07,0.47,71.65,72.66,5
val_logreg,0.21,0.04,0.17,0.27,5
val_gboost,6.59,0.10,6.47,6.72,5
val_svm,0.40,0.00,0.39,0.40,5
val_rf,3.22,0.12,3.02,3.31,5
test_logreg,0.21,0.04,0.17,0.26,5
test_gboost,6.61,0.12,6.45,6.74,5
test_svm,0.39,0.01,0.39,0.40,5
test_rf,3.22,0.11,3.04,3.32,5
seed_total,1336.35,6.34,1331.55,1347.23,5
