metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.6260,0.0069,0.0085,5
LogisticRegression/Macro-Recall,0.6554,0.0195,0.0242,5
LogisticRegression/Macro-F1,0.6376,0.0043,0.0053,5
LogisticRegression/Macro-PR-AUC,0.6090,0.0084,0.0104,5
LogisticRegression/Accuracy,0.9273,0.0063,0.0078,5
LogisticRegression/ROC-AUC,0.8155,0.0064,0.0079,5
LogisticRegression/MCC,0.2789,0.0117,0.0145,5
LogisticRegression/Minority-Precision,0.2840,0.0156,0.0193,5
LogisticRegression/Minority-Recall,0.3554,0.0478,0.0593,5
LogisticRegression/Minority-F1,0.3135,0.0116,0.0144,5
LogisticRegression/Minority-PR-AUC,0.2329,0.0168,0.0209,5
GradientBoosting/Macro-Precision,0.6713,0.0162,0.0201,5
GradientBoosting/Macro-Recall,0.6920,0.0138,0.0171,5
GradientBoosting/Macro-F1,0.6804,0.0119,0.0147,5
GradientBoosting/Macro-PR-AUC,0.6721,0.0121,0.0150,5
GradientBoosting/Accuracy,0.9391,0.0046,0.0057,5
GradientBoosting/ROC-AUC,0.8318,0.0108,0.0134,5
GradientBoosting/MCC,0.3623,0.0235,0.0291,5
GradientBoosting/Minority-Precision,0.3714,0.0322,0.0400,5
GradientBoosting/Minority-Recall,0.4192,0.0294,0.0365,5
GradientBoosting/Minority-F1,0.3929,0.0220,0.0273,5
GradientBoosting/Minority-PR-AUC,0.3572,0.0239,0.0297,5
LinearSVM/Macro-Precision,0.6554,0.0052,0.0064,5
LinearSVM/Macro-Recall,0.6518,0.0215,0.0268,5
LinearSVM/Macro-F1,0.6527,0.0107,0.0132,5
LinearSVM/Macro-PR-AUC,0.6223,0.0133,0.0165,5
LinearSVM/Accuracy,0.9386,0.0032,0.0039,5
LinearSVM/ROC-AUC,0.8178,0.0094,0.0117,5
LinearSVM/MCC,0.3065,0.0210,0.0260,5
LinearSVM/Minority-Precision,0.3434,0.0112,0.0139,5
LinearSVM/Minority-Recall,0.3354,0.0485,0.0602,5
LinearSVM/Minority-F1,0.3376,0.0227,0.0282,5
LinearSVM/Minority-PR-AUC,0.2605,0.0266,0.0331,5
RandomForest/Macro-Precision,0.6887,0.0105,0.0130,5
RandomForest/Macro-Recall,0.7054,0.0130,0.0162,5
RandomForest/Macro-F1,0.6961,0.0052,0.0065,5
RandomForest/Macro-PR-AUC,0.6718,0.0122,0.0152,5
RandomForest/Accuracy,0.9431,0.0035,0.0044,5
RandomForest/ROC-AUC,0.8427,0.0104,0.0129,5
RandomForest/MCC,0.3933,0.0099,0.0123,5
RandomForest/Minority-Precision,0.4050,0.0219,0.0272,5
RandomForest/Minority-Recall,0.4431,0.0306,0.0380,5
RandomForest/Minority-F1,0.4220,0.0100,0.0125,5
RandomForest/Minority-PR-AUC,0.3558,0.0241,0.0299,5
SRC_pure/Macro-Precision,0.5401,0.0065,0.0080,5
SRC_pure/Macro-Recall,0.6551,0.0231,0.0287,5
SRC_pure/Macro-F1,0.5264,0.0110,0.0137,5
SRC_pure/Macro-PR-AUC,0.5636,0.0111,0.0138,5
SRC_pure/Accuracy,0.7789,0.0107,0.0133,5
SRC_pure/ROC-AUC,0.6824,0.0248,0.0308,5
SRC_pure/MCC,0.1578,0.0244,0.0303,5
SRC_pure/Minority-Precision,0.1094,0.0104,0.0130,5
SRC_pure/Minority-Recall,0.5185,0.0421,0.0522,5
SRC_pure/Minority-F1,0.1806,0.0166,0.0206,5
SRC_pure/Minority-PR-AUC,0.1565,0.0198,0.0246,5
SRC_fddl/Macro-Precision,0.5404,0.0064,0.0080,5
SRC_fddl/Macro-Recall,0.6556,0.0229,0.0285,5
SRC_fddl/Macro-F1,0.5270,0.0110,0.0136,5
SRC_fddl/Macro-PR-AUC,0.5635,0.0111,0.0138,5
SRC_fddl/Accuracy,0.7799,0.0108,0.0134,5
SRC_fddl/ROC-AUC,0.6825,0.0248,0.0308,5
SRC_fddl/MCC,0.1585,0.0242,0.0300,5
SRC_fddl/Minority-Precision,0.1098,0.0104,0.0129,5
SRC_fddl/Minority-Recall,0.5185,0.0421,0.0522,5
SRC_fddl/Minority-F1,0.1812,0.0165,0.0204,5
SRC_fddl/Minority-PR-AUC,0.1564,0.0198,0.0246,5
