master_seed,data_load,partition,fit_encoder_dict,sparse_codes_train,sparse_codes_val,sparse_codes_test,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,src_embeddings,src_pure,src_fddl,seed_total
59,11.830,0.032,672.652,60.839,45.380,46.541,0.296,238.701,98.331,8.433,0.291,238.959,98.334,8.406,46.408,1.197,1.224,1577.908
42,11.608,0.033,678.521,61.172,47.314,45.626,0.306,242.656,91.110,8.109,0.300,238.116,90.677,8.124,45.298,1.314,1.232,1571.534
50,11.670,0.040,693.797,63.081,45.248,46.393,0.328,239.104,97.076,8.021,0.300,239.157,92.100,7.975,45.709,1.221,1.221,1592.461
67,11.638,0.036,682.237,61.434,45.733,46.000,0.315,238.821,65.132,8.099,0.289,239.390,64.378,8.098,45.805,1.284,1.217,1519.925
3,11.759,0.034,679.389,60.740,45.936,47.232,0.292,240.171,140.653,8.192,0.286,240.261,139.813,8.173,46.822,1.426,1.241,1672.440
