phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.70,0.09,11.61,11.83,5
partition,0.04,0.00,0.03,0.04,5
fit_encoder_dict,681.32,7.80,672.65,693.80,5
sparse_codes_train,61.45,0.95,60.74,63.08,5
sparse_codes_val,45.92,0.82,45.25,47.31,5
sparse_codes_test,46.36,0.60,45.63,47.23,5
val_logreg,0.31,0.01,0.29,0.33,5
val_gboost,239.89,1.65,238.70,242.66,5
val_svm,98.46,27.14,65.13,140.65,5
val_rf,8.17,0.16,8.02,8.43,5
test_logreg,0.29,0.01,0.29,0.30,5
test_gboost,239.18,0.77,238.12,240.26,5
test_svm,97.06,27.22,64.38,139.81,5
test_rf,8.16,0.16,7.97,8.41,5
src_embeddings,46.01,0.60,45.30,46.82,5
src_pure,1.29,0.09,1.20,1.43,5
src_fddl,1.23,0.01,1.22,1.24,5
seed_total,1586.85,55.11,1519.92,1672.44,5
