phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,12.11,0.11,11.99,12.29,5
partition,0.03,0.00,0.03,0.04,5
fit_wl_fddl,3701.52,25.69,3671.46,3729.78,5
sparse_codes_train,19.34,0.17,19.21,19.60,5
sparse_codes_val,14.92,0.09,14.76,15.00,5
sparse_codes_test,14.27,0.07,14.22,14.40,5
val_logreg,0.14,0.01,0.13,0.15,5
val_gboost,79.11,0.97,78.36,80.75,5
val_svm,1.97,0.06,1.91,2.08,5
val_rf,2.75,0.12,2.62,2.88,5
test_logreg,0.11,0.00,0.11,0.12,5
test_gboost,79.25,1.46,78.25,81.77,5
test_svm,1.97,0.07,1.90,2.09,5
test_rf,2.74,0.11,2.61,2.84,5
src_embeddings,13.61,0.11,13.52,13.80,5
src_pure,4.73,0.11,4.54,4.85,5
src_fddl,4.62,0.19,4.38,4.86,5
seed_total,3953.24,28.11,3921.60,3983.79,5
