phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,15.42,0.39,14.99,15.76,3
partition,0.11,0.00,0.11,0.12,3
fit_encoder_dict,267.59,6.14,260.51,271.20,3
sparse_codes_train,8.62,1.76,7.21,10.60,3
sparse_codes_val,6.38,0.96,5.70,7.48,3
sparse_codes_test,5.96,1.27,5.22,7.43,3
val_logreg,0.15,0.04,0.12,0.19,3
val_gboost,2.55,0.20,2.42,2.78,3
val_svm,0.24,0.05,0.20,0.30,3
val_rf,1.01,0.20,0.82,1.22,3
test_logreg,0.13,0.05,0.10,0.18,3
test_gboost,2.38,0.35,2.02,2.72,3
test_svm,0.23,0.06,0.17,0.29,3
test_rf,0.95,0.22,0.81,1.21,3
seed_total,311.71,9.81,301.26,320.71,3
