phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,18.53,4.45,15.53,23.65,3
partition,0.08,0.01,0.07,0.10,3
fit_encoder_dict,1683.20,57.69,1639.52,1748.61,3
sparse_codes_train,14.43,2.22,11.89,16.00,3
sparse_codes_val,11.26,1.51,9.54,12.34,3
sparse_codes_test,10.73,1.38,9.21,11.90,3
val_logreg,0.16,0.03,0.14,0.20,3
val_gboost,3.32,0.52,2.74,3.75,3
val_svm,0.29,0.03,0.26,0.31,3
val_rf,1.31,0.21,1.07,1.44,3
test_logreg,0.16,0.02,0.14,0.19,3
test_gboost,3.35,0.54,2.74,3.78,3
test_svm,0.30,0.02,0.28,0.32,3
test_rf,1.35,0.25,1.08,1.58,3
seed_total,1748.49,65.35,1695.17,1821.39,3
