phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.55,0.09,11.44,11.70,5
partition,0.04,0.00,0.04,0.04,5
fit_encoder_dict,34.68,1.19,32.95,35.98,5
sparse_codes_train,29.26,0.73,28.25,29.97,5
sparse_codes_val,24.15,0.57,23.38,24.75,5
sparse_codes_test,23.98,0.46,23.35,24.44,5
val_logreg,0.07,0.01,0.06,0.07,5
val_gboost,54.26,0.30,53.89,54.58,5
val_svm,1.68,0.09,1.53,1.77,5
val_rf,4.03,0.04,3.97,4.09,5
test_logreg,0.06,0.01,0.06,0.08,5
test_gboost,54.24,0.30,53.80,54.53,5
test_svm,1.77,0.18,1.56,2.04,5
test_rf,4.06,0.05,4.01,4.13,5
seed_total,243.86,2.75,240.38,247.15,5
