master_seed,data_load,partition,fit_wl_fddl,sparse_codes_train,sparse_codes_val,sparse_codes_test,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,src_embeddings,src_pure,src_fddl,seed_total
12,11.473,0.036,647.734,3.863,3.207,2.820,0.112,40.256,1.931,2.694,0.109,40.290,1.921,2.662,3.331,1.369,1.296,765.121
53,11.463,0.033,660.495,4.311,2.914,2.894,0.112,39.684,2.014,2.757,0.108,39.667,2.018,2.732,3.120,1.304,1.329,776.973
33,11.548,0.037,652.491,3.801,3.233,2.821,0.109,40.107,1.917,2.682,0.104,39.980,1.906,2.667,3.035,1.423,1.301,769.182
52,11.476,0.031,655.298,3.754,3.221,2.839,0.108,40.355,2.026,2.781,0.105,40.355,2.026,2.776,3.037,1.362,1.280,772.851
34,11.465,0.033,653.392,3.980,3.263,2.845,0.109,40.034,2.041,2.805,0.105,40.107,2.040,2.798,3.065,1.357,1.279,770.736
