phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.80,0.04,11.78,11.84,2
partition,0.03,0.00,0.03,0.03,2
fit_encoder_dict,1103.44,1.70,1102.24,1104.65,2
sparse_codes_train,68.02,1.24,67.14,68.90,2
sparse_codes_val,50.63,0.52,50.26,51.00,2
sparse_codes_test,51.25,1.35,50.30,52.21,2
val_logreg,0.04,0.00,0.04,0.04,2
val_gboost,6.75,0.34,6.51,6.99,2
val_svm,0.28,0.07,0.23,0.33,2
val_rf,1.36,0.12,1.28,1.45,2
test_logreg,0.04,0.00,0.04,0.04,2
test_gboost,6.71,0.31,6.49,6.93,2
test_svm,0.26,0.04,0.23,0.29,2
test_rf,1.35,0.11,1.28,1.43,2
seed_total,1303.16,2.54,1301.36,1304.95,2
