phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.62,0.07,11.57,11.66,2
partition,0.04,0.00,0.04,0.04,2
fit_encoder_dict,11.35,0.09,11.29,11.42,2
sparse_codes_train,4.01,0.02,3.99,4.03,2
sparse_codes_val,2.69,0.01,2.69,2.70,2
sparse_codes_test,2.75,0.03,2.73,2.77,2
val_logreg,0.05,0.00,0.04,0.05,2
val_gboost,1.52,0.01,1.51,1.52,2
val_svm,0.09,0.00,0.09,0.09,2
val_rf,0.68,0.03,0.65,0.70,2
test_logreg,0.04,0.00,0.04,0.04,2
test_gboost,1.50,0.00,1.50,1.51,2
test_svm,0.08,0.00,0.08,0.09,2
test_rf,0.68,0.04,0.65,0.71,2
seed_total,37.11,0.02,37.09,37.12,2
