phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.72,0.04,11.69,11.74,2
partition,0.04,0.00,0.03,0.04,2
fit_encoder_dict,153.93,1.56,152.82,155.03,2
sparse_codes_train,63.84,1.34,62.89,64.78,2
sparse_codes_val,48.75,0.71,48.25,49.25,2
sparse_codes_test,48.07,0.29,47.87,48.27,2
val_logreg,0.04,0.00,0.04,0.05,2
val_gboost,7.41,0.22,7.26,7.56,2
val_svm,0.30,0.01,0.30,0.31,2
val_rf,1.39,0.01,1.38,1.39,2
test_logreg,0.04,0.00,0.04,0.04,2
test_gboost,7.47,0.12,7.39,7.56,2
test_svm,0.30,0.01,0.29,0.31,2
test_rf,1.39,0.01,1.38,1.39,2
seed_total,344.70,0.98,344.01,345.39,2
