master_seed,data_load,partition,fit_encoder_dict,sparse_codes_train,sparse_codes_val,sparse_codes_test,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,src_embeddings,src_pure,src_fddl,seed_total
88,11.825,0.035,72.870,4.033,3.602,3.173,0.067,4.726,0.256,0.917,0.049,4.678,0.256,0.896,3.526,0.327,0.358,111.662
79,12.130,0.042,71.916,3.929,3.533,3.118,0.072,4.398,0.429,0.864,0.045,4.360,0.239,0.833,3.259,0.434,0.341,109.962
