phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.98,0.22,11.82,12.13,2
partition,0.04,0.00,0.04,0.04,2
fit_encoder_dict,72.39,0.67,71.92,72.87,2
sparse_codes_train,3.98,0.07,3.93,4.03,2
sparse_codes_val,3.57,0.05,3.53,3.60,2
sparse_codes_test,3.15,0.04,3.12,3.17,2
val_logreg,0.07,0.00,0.07,0.07,2
val_gboost,4.56,0.23,4.40,4.73,2
val_svm,0.34,0.12,0.26,0.43,2
val_rf,0.89,0.04,0.86,0.92,2
test_logreg,0.05,0.00,0.04,0.05,2
test_gboost,4.52,0.22,4.36,4.68,2
test_svm,0.25,0.01,0.24,0.26,2
test_rf,0.86,0.04,0.83,0.90,2
src_embeddings,3.39,0.19,3.26,3.53,2
src_pure,0.38,0.08,0.33,0.43,2
src_fddl,0.35,0.01,0.34,0.36,2
seed_total,110.81,1.20,109.96,111.66,2
