metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.6116,0.0203,0.1824,2
LogisticRegression/Macro-Recall,0.6591,0.0012,0.0107,2
LogisticRegression/Macro-F1,0.6291,0.0160,0.1436,2
LogisticRegression/Macro-PR-AUC,0.6078,0.0232,0.2087,2
LogisticRegression/Accuracy,0.9183,0.0121,0.1089,2
LogisticRegression/ROC-AUC,0.8155,0.0213,0.1918,2
LogisticRegression/MCC,0.2660,0.0253,0.2272,2
LogisticRegression/Minority-Precision,0.2548,0.0407,0.3657,2
LogisticRegression/Minority-Recall,0.3731,0.0109,0.0977,2
LogisticRegression/Minority-F1,0.3015,0.0252,0.2266,2
LogisticRegression/Minority-PR-AUC,0.2292,0.0446,0.4010,2
GradientBoosting/Macro-Precision,0.6755,0.0247,0.2215,2
GradientBoosting/Macro-Recall,0.6738,0.0254,0.2281,2
GradientBoosting/Macro-F1,0.6725,0.0006,0.0054,2
GradientBoosting/Macro-PR-AUC,0.6673,0.0123,0.1107,2
GradientBoosting/Accuracy,0.9411,0.0083,0.0745,2
GradientBoosting/ROC-AUC,0.8299,0.0084,0.0754,2
GradientBoosting/MCC,0.3475,0.0010,0.0088,2
GradientBoosting/Minority-Precision,0.3815,0.0519,0.4666,2
GradientBoosting/Minority-Recall,0.3788,0.0626,0.5620,2
GradientBoosting/Minority-F1,0.3759,0.0058,0.0519,2
GradientBoosting/Minority-PR-AUC,0.3476,0.0234,0.2105,2
LinearSVM/Macro-Precision,0.6204,0.0167,0.1502,2
LinearSVM/Macro-Recall,0.6991,0.0411,0.3691,2
LinearSVM/Macro-F1,0.6469,0.0236,0.2120,2
LinearSVM/Macro-PR-AUC,0.6160,0.0207,0.1862,2
LinearSVM/Accuracy,0.9162,0.0019,0.0172,2
LinearSVM/ROC-AUC,0.8284,0.0253,0.2272,2
LinearSVM/MCC,0.3096,0.0535,0.4803,2
LinearSVM/Minority-Precision,0.2683,0.0293,0.2634,2
LinearSVM/Minority-Recall,0.4596,0.0843,0.7575,2
LinearSVM/Minority-F1,0.3386,0.0463,0.4162,2
LinearSVM/Minority-PR-AUC,0.2448,0.0393,0.3527,2
RandomForest/Macro-Precision,0.7016,0.0124,0.1117,2
RandomForest/Macro-Recall,0.7022,0.0125,0.1121,2
RandomForest/Macro-F1,0.7014,0.0000,0.0002,2
RandomForest/Macro-PR-AUC,0.6860,0.0046,0.0417,2
RandomForest/Accuracy,0.9464,0.0033,0.0298,2
RandomForest/ROC-AUC,0.8527,0.0063,0.0565,2
RandomForest/MCC,0.4034,0.0000,0.0001,2
RandomForest/Minority-Precision,0.4311,0.0262,0.2350,2
RandomForest/Minority-Recall,0.4327,0.0299,0.2688,2
RandomForest/Minority-F1,0.4310,0.0018,0.0160,2
RandomForest/Minority-PR-AUC,0.3842,0.0081,0.0728,2
SRC_pure/Macro-Precision,0.4978,0.0015,0.0136,2
SRC_pure/Macro-Recall,0.4994,0.0005,0.0042,2
SRC_pure/Macro-F1,0.4940,0.0004,0.0034,2
SRC_pure/Macro-PR-AUC,0.4948,0.0014,0.0126,2
SRC_pure/Accuracy,0.9414,0.0009,0.0080,2
SRC_pure/ROC-AUC,0.4451,0.0164,0.1474,2
SRC_pure/MCC,-0.0023,0.0017,0.0152,2
SRC_pure/Minority-Precision,0.0427,0.0030,0.0269,2
SRC_pure/Minority-Recall,0.0115,0.0000,0.0000,2
SRC_pure/Minority-F1,0.0182,0.0003,0.0024,2
SRC_pure/Minority-PR-AUC,0.0416,0.0023,0.0210,2
SRC_fddl/Macro-Precision,0.4909,0.0040,0.0358,2
SRC_fddl/Macro-Recall,0.4982,0.0004,0.0038,2
SRC_fddl/Macro-F1,0.4905,0.0017,0.0150,2
SRC_fddl/Macro-PR-AUC,0.4950,0.0013,0.0119,2
SRC_fddl/Accuracy,0.9445,0.0017,0.0149,2
SRC_fddl/ROC-AUC,0.4465,0.0163,0.1469,2
SRC_fddl/MCC,-0.0080,0.0027,0.0244,2
SRC_fddl/Minority-Precision,0.0289,0.0079,0.0713,2
SRC_fddl/Minority-Recall,0.0058,0.0027,0.0244,2
SRC_fddl/Minority-F1,0.0096,0.0042,0.0380,2
SRC_fddl/Minority-PR-AUC,0.0417,0.0023,0.0210,2
