phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.72,0.23,11.55,11.88,2
partition,0.04,0.00,0.03,0.04,2
fit_encoder_dict,233.73,0.76,233.19,234.26,2
sparse_codes_train,61.37,0.43,61.07,61.67,2
sparse_codes_val,45.49,1.00,44.78,46.19,2
sparse_codes_test,46.50,0.42,46.20,46.79,2
val_logreg,0.07,0.00,0.06,0.07,2
val_gboost,56.86,0.11,56.78,56.94,2
val_svm,6.90,2.78,4.94,8.87,2
val_rf,3.77,0.06,3.73,3.81,2
test_logreg,0.06,0.00,0.06,0.07,2
test_gboost,56.93,0.09,56.87,56.99,2
test_svm,6.86,2.76,4.91,8.81,2
test_rf,3.80,0.08,3.74,3.86,2
src_embeddings,46.38,0.24,46.21,46.55,2
src_pure,0.46,0.04,0.43,0.49,2
src_fddl,0.29,0.00,0.28,0.29,2
seed_total,581.25,4.59,578.00,584.49,2
